timestamp_s,roll_deg,pitch_deg,yaw_deg,angular_rate_x,angular_rate_y,angular_rate_z
2005.120000,-2.113695,-1.839605,6.524234,0.077046,-0.035575,0.036351
2005.200000,-2.041172,-1.810028,6.545110,0.056175,-0.019322,0.032363
2005.280000,-1.957563,-1.774743,6.565203,0.032836,-0.002373,0.027983
2005.360000,-1.863322,-1.733862,6.584506,0.008054,0.014661,0.023265
2005.440000,-1.758961,-1.687513,6.603012,-0.017082,0.031167,0.018266
2005.520000,-1.645047,-1.635842,6.620717,-0.041467,0.046552,0.013046
2005.600000,-1.522198,-1.579014,6.637614,-0.064030,0.060261,0.007669
2005.680000,-1.391082,-1.517206,6.653699,-0.083780,0.071802,0.002198
2005.760000,-1.252411,-1.450613,6.668967,-0.099849,0.080758,-0.003299
2005.840000,-1.106937,-1.379446,6.683412,-0.111530,0.086807,-0.008756
2005.920000,-0.955452,-1.303929,6.697031,-0.118311,0.089732,-0.014107
2006.000000,-0.798777,-1.224301,6.709820,-0.119894,0.089428,-0.019287
2006.080000,-0.637764,-1.140812,6.721773,-0.116209,0.085905,-0.024235
2006.160000,-0.473287,-1.053725,6.732888,-0.107418,0.079290,-0.028889
2006.240000,-0.306240,-0.963315,6.743162,-0.093907,0.069821,-0.033195
2006.320000,-0.137529,-0.869868,6.752590,-0.076270,0.057839,-0.037099
2006.400000,0.031929,-0.773678,6.761170,-0.055281,0.043776,-0.040555
2006.480000,0.201213,-0.675048,6.768900,-0.031864,0.028137,-0.043520
2006.560000,0.369404,-0.574289,6.775778,-0.007047,0.011485,-0.045959
2006.640000,0.535589,-0.471719,6.781800,0.018080,-0.005580,-0.047843
2006.720000,0.698865,-0.367662,6.786965,0.042412,-0.022444,-0.049149
2006.800000,0.858346,-0.262445,6.791272,0.064881,-0.038500,-0.049860
2006.880000,1.013164,-0.156401,6.794719,0.084499,-0.053171,-0.049969
2006.960000,1.162480,-0.049864,6.797305,0.100405,-0.065928,-0.049474
2007.040000,1.305483,0.056831,6.799030,0.111899,-0.076312,-0.048380
2007.120000,1.441395,0.163346,6.799892,0.118476,-0.083950,-0.046702
2007.200000,1.569478,0.269347,6.799892,0.119847,-0.088566,-0.044460
2007.280000,1.689037,0.374498,6.799030,0.115953,-0.089994,-0.041679
2007.360000,1.799423,0.478468,6.797305,0.106964,-0.088184,-0.038396
2007.440000,1.900036,0.580929,6.794719,0.093275,-0.083199,-0.034648
2007.520000,1.990329,0.681558,6.791272,0.075488,-0.075220,-0.030481
2007.600000,2.069813,0.780038,6.786965,0.054384,-0.064534,-0.025945
2007.680000,2.138055,0.876059,6.781800,0.030891,-0.051525,-0.021097
2007.760000,2.194684,0.969316,6.775778,0.006040,-0.036662,-0.015993
2007.840000,2.239394,1.059518,6.768900,-0.019076,-0.020479,-0.010695
2007.920000,2.271941,1.146378,6.761170,-0.043354,-0.003559,-0.005269
2008.000000,2.292149,1.229623,6.752590,-0.065728,0.013489,0.000221
2008.080000,2.299908,1.308990,6.743162,-0.085213,0.030052,0.005709
2008.160000,2.295176,1.384230,6.732888,-0.100954,0.045532,0.011127
2008.240000,2.277978,1.455105,6.721773,-0.112259,0.059375,0.016411
2008.320000,2.248408,1.521391,6.709820,-0.118632,0.071080,0.021497
2008.400000,2.206626,1.582879,6.697031,-0.119792,0.080227,0.026323
2008.480000,2.152860,1.639377,6.683412,-0.115689,0.086486,0.030830
2008.560000,2.087401,1.690704,6.668967,-0.106503,0.089633,0.034965
2008.640000,2.010605,1.736700,6.653699,-0.092637,0.089554,0.038678
2008.720000,1.922889,1.777220,6.637614,-0.074701,0.086251,0.041922
2008.800000,1.824729,1.812135,6.620717,-0.053483,0.079844,0.044660
2008.880000,1.716659,1.841336,6.603012,-0.029915,0.070564,0.046858
2008.960000,1.599266,1.864731,6.584506,-0.005032,0.058743,0.048490
2009.040000,1.473186,1.882245,6.565203,0.020072,0.044809,0.049536
2009.120000,1.339106,1.893823,6.545110,0.044294,0.029262,0.049983
2009.200000,1.197752,1.899430,6.524234,0.066569,0.012661,0.049825
2009.280000,1.049893,1.899047,6.502580,0.085920,-0.004395,0.049066
2009.360000,0.896332,1.892676,6.480155,0.101495,-0.021293,0.047713
2009.440000,0.737903,1.880336,6.456966,0.112612,-0.037424,0.045783
2009.520000,0.575466,1.862067,6.433020,0.118780,-0.052209,0.043301
2009.600000,0.409904,1.837926,6.408325,0.119729,-0.065115,0.040294
2009.680000,0.242115,1.807989,6.382888,0.115417,-0.075676,0.036801
2009.760000,0.073012,1.772351,6.356717,0.106034,-0.083515,0.032863
2009.840000,-0.096488,1.731124,6.329820,0.091993,-0.088347,0.028527
2009.920000,-0.265464,1.684438,6.302205,0.073909,-0.090000,0.023847
2010.000000,-0.432999,1.632440,6.273882,0.052578,-0.088413,0.018878
2010.080000,-0.598181,1.575295,6.244858,0.028936,-0.083645,0.013682
2010.160000,-0.760115,1.513182,6.215142,0.004024,-0.075865,0.008319
2010.240000,-0.917920,1.446297,6.184744,-0.021066,-0.065356,0.002857
2010.320000,-1.070740,1.374851,6.153673,-0.045230,-0.052494,-0.002640
2010.400000,-1.217745,1.299071,6.121939,-0.067406,-0.037742,-0.008106
2010.480000,-1.358136,1.219193,6.089551,-0.086621,-0.021633,-0.013473
2010.560000,-1.491150,1.135471,6.056520,-0.102030,-0.004745,-0.018677
2010.640000,-1.616066,1.048169,6.022855,-0.112956,0.012315,-0.023656
2010.720000,-1.732204,0.957561,5.988567,-0.118919,0.028930,-0.028349
2010.800000,-1.838935,0.863933,5.953667,-0.119657,0.044505,-0.032699
2010.880000,-1.935678,0.767582,5.918164,-0.115137,0.058478,-0.036654
2010.960000,-2.021908,0.668809,5.882071,-0.105558,0.070346,-0.040166
2011.040000,-2.097157,0.567928,5.845398,-0.091342,0.079682,-0.043192
2011.120000,-2.161015,0.465256,5.808157,-0.073112,0.086150,-0.045696
2011.200000,-2.213137,0.361117,5.770359,-0.051669,0.089518,-0.047648
2011.280000,-2.253238,0.255838,5.732015,-0.027956,0.089664,-0.049023
2011.360000,-2.281102,0.149754,5.693138,-0.003015,0.086582,-0.049807
2011.440000,-2.296577,0.043196,5.653740,0.022058,0.080385,-0.049988
2011.520000,-2.299578,-0.063497,5.613832,0.046163,0.071294,-0.049565
2011.600000,-2.290090,-0.169990,5.573427,0.068239,0.059637,-0.048543
2011.680000,-2.268165,-0.275947,5.532537,0.087316,0.045834,-0.046934
2011.760000,-2.233920,-0.381034,5.491176,0.102558,0.030381,-0.044757
2011.840000,-2.187542,-0.484919,5.449355,0.113293,0.013835,-0.042040
2011.920000,-2.129284,-0.587275,5.407087,0.119050,-0.003209,-0.038815
2012.000000,-2.059461,-0.687779,5.364386,0.119576,-0.020138,-0.035120
2012.080000,-1.978452,-0.786115,5.321265,0.114849,-0.036342,-0.031001
2012.160000,-1.886699,-0.881971,5.277737,0.105075,-0.051238,-0.026507
2012.240000,-1.784698,-0.975047,5.233815,0.090684,-0.064290,-0.021692
2012.320000,-1.673004,-1.065047,5.189513,0.072309,-0.075028,-0.016616
2012.400000,-1.552224,-1.151689,5.144845,0.050757,-0.083065,-0.011338
2012.480000,-1.423013,-1.234699,5.099825,0.026974,-0.088113,-0.005924
2012.560000,-1.286073,-1.313816,5.054465,0.002007,-0.089990,-0.000438
2012.640000,-1.142149,-1.388790,5.008781,-0.023049,-0.088627,0.005053
2012.720000,-0.992022,-1.459384,4.962786,-0.047092,-0.084075,0.010484
2012.800000,-0.836506,-1.525377,4.916494,-0.069066,-0.076497,0.015787
2012.880000,-0.676448,-1.586559,4.869920,-0.088005,-0.066166,0.020900
2012.960000,-0.512715,-1.642738,4.823078,-0.103078,-0.053453,0.025760
2013.040000,-0.346198,-1.693737,4.775983,-0.113621,-0.038816,0.030309
2013.120000,-0.177800,-1.739395,4.728648,-0.119172,-0.022783,0.034491
2013.200000,-0.008437,-1.779568,4.681089,-0.119487,-0.005929,0.038256
2013.280000,0.160972,-1.814129,4.633321,-0.114552,0.011138,0.041559
2013.360000,0.329507,-1.842969,4.585357,-0.104584,0.027804,0.044360
2013.440000,0.496252,-1.865998,4.537213,-0.090020,0.043470,0.046624
2013.520000,0.660301,-1.883143,4.488903,-0.071501,0.057571,0.048325
2013.600000,0.820765,-1.894349,4.440443,-0.049841,0.069600,0.049442
2013.680000,0.976771,-1.899582,4.391847,-0.025990,0.079123,0.049961
2013.760000,1.127472,-1.898824,4.343131,-0.000998,0.085800,0.049876
2013.840000,1.272049,-1.892079,4.294309,0.024038,0.089388,0.049188
2013.920000,1.409718,-1.879367,4.245396,0.048018,0.089758,0.047906
2014.000000,1.539730,-1.860729,4.196408,0.069889,0.086899,0.046044
2014.080000,1.661379,-1.836224,4.147359,0.088688,0.080912,0.043626
2014.160000,1.774006,-1.805927,4.098264,0.103591,0.072012,0.040681
2014.240000,1.876997,-1.769937,4.049140,0.113942,0.060521,0.037244
2014.320000,1.969794,-1.728364,4.000000,0.119286,0.046851,0.033357
