timestamp_s,height_agl_m,height_source,snr,target_count,valid,height_confidence
2011.200000,0.157456,nar15_synthetic_demo,21.811,1,1,0.953
2011.280000,0.147539,nar15_synthetic_demo,21.802,1,1,0.950
2011.360000,0.160000,nar15_synthetic_demo,21.791,1,1,0.948
2011.440000,0.154875,nar15_synthetic_demo,21.779,1,1,0.945
2011.520000,0.137457,nar15_synthetic_demo,21.766,1,1,0.942
2011.600000,0.148188,nar15_synthetic_demo,21.752,1,1,0.938
2011.680000,0.139926,nar15_synthetic_demo,21.737,1,1,0.934
2011.760000,0.141692,nar15_synthetic_demo,21.721,1,1,0.930
2011.840000,0.130613,nar15_synthetic_demo,21.703,1,1,0.926
2011.920000,0.143675,nar15_synthetic_demo,21.685,1,1,0.921
2012.000000,0.145112,nar15_synthetic_demo,21.666,1,1,0.917
2012.080000,0.145733,nar15_synthetic_demo,21.646,1,1,0.912
2012.160000,0.134008,nar15_synthetic_demo,21.626,1,1,0.906
2012.240000,0.145452,nar15_synthetic_demo,21.605,1,1,0.901
2012.320000,0.140396,nar15_synthetic_demo,21.583,1,1,0.896
2012.400000,0.133271,nar15_synthetic_demo,21.561,1,1,0.890
2012.480000,0.137646,nar15_synthetic_demo,21.538,1,1,0.885
2012.560000,0.125219,nar15_synthetic_demo,21.515,1,1,0.879
2012.640000,0.122197,nar15_synthetic_demo,21.492,1,1,0.873
2012.720000,0.127236,nar15_synthetic_demo,21.469,1,1,0.867
2012.800000,0.124957,nar15_synthetic_demo,21.445,1,1,0.861
2012.880000,0.117087,nar15_synthetic_demo,21.422,1,1,0.855
2012.960000,0.122266,nar15_synthetic_demo,21.398,1,1,0.850
2013.040000,0.118310,nar15_synthetic_demo,21.375,1,1,0.844
2013.120000,0.118974,nar15_synthetic_demo,21.352,1,1,0.838
2013.200000,0.120602,nar15_synthetic_demo,21.329,1,1,0.832
2013.280000,0.113939,nar15_synthetic_demo,21.307,1,1,0.827
2013.360000,0.112938,nar15_synthetic_demo,21.285,1,1,0.821
2013.440000,0.115313,nar15_synthetic_demo,21.263,1,1,0.816
2013.520000,0.119189,nar15_synthetic_demo,21.242,1,1,0.811
2013.600000,0.112388,nar15_synthetic_demo,21.222,1,1,0.806
2013.680000,0.095633,nar15_synthetic_demo,21.203,1,1,0.801
2013.760000,0.104714,nar15_synthetic_demo,21.185,1,1,0.796
2013.840000,0.099454,nar15_synthetic_demo,21.167,1,1,0.792
2013.920000,0.098228,nar15_synthetic_demo,21.150,1,1,0.788
2014.000000,0.099695,nar15_synthetic_demo,21.134,1,1,0.784
2014.080000,0.097371,nar15_synthetic_demo,21.120,1,1,0.780
2014.160000,0.101750,nar15_synthetic_demo,21.106,1,1,0.777
2014.240000,0.096594,nar15_synthetic_demo,21.094,1,1,0.773
2014.320000,0.103538,nar15_synthetic_demo,21.083,1,1,0.771
