path,classification,file_count,python_file_count,total_size_bytes,physical_lines,include_in_softcopyright_snapshot,reason,notes
CHATGPT_CHANGELOG_V0.8.8_LINEAGE_COMPARE_UX.md,docs,1,0,1737,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.9_LINEAGE_COMPARE_TOGGLE.md,docs,1,0,715,0,True,documentation useful for manual/source evidence,
CHATGPT_FINAL_CHANGELOG.md,docs,1,0,1527,0,True,documentation useful for manual/source evidence,
CHATGPT_PACKAGE_HOTFIX_README.md,docs,1,0,645,0,True,documentation useful for manual/source evidence,
CHATGPT_ROI_TOGGLE_CHANGELOG.md,docs,1,0,1449,0,True,documentation useful for manual/source evidence,
CHATGPT_WEB_AUDIT_20260531.md,docs,1,0,4761,0,True,documentation useful for manual/source evidence,
CURRENT_STATE.md,docs,1,0,4330,0,True,documentation useful for manual/source evidence,
PythonModule,core_runtime,40,40,272465,7710,True,core processing/runtime module,
README.md,docs,1,0,4730,0,True,documentation useful for manual/source evidence,
START_MYGPR_README.md,docs,1,0,1284,0,True,documentation useful for manual/source evidence,
VERSION,unknown,1,0,8,0,False,manual review required,
app_qt.py,ui,1,1,322999,7847,True,user-facing application UI,
assets,unknown,4,0,1385,0,False,manual review required,
build_exe.bat,unknown,1,0,1684,0,False,manual review required,
check_mygpr_environment.bat,unknown,1,0,1568,0,False,manual review required,
cli_batch.py,core_runtime,1,1,26942,790,True,core processing/runtime module,
config,core_runtime,5,0,3973,0,True,core processing/runtime module,
core,core_runtime,56,56,884852,24749,True,core processing/runtime module,
docs,core_runtime,130,0,1109147,0,True,core processing/runtime module,
experiments,experiment,185,0,348744,0,partial_review,manual review required,
gpr_gui.spec,unknown,1,0,3785,0,False,manual review required,
pytest.ini,unknown,1,0,539,0,False,manual review required,
read_file_data.py,core_runtime,1,1,5641,181,True,core processing/runtime module,
requirements-dev.txt,docs,1,0,446,0,True,documentation useful for manual/source evidence,
sample_data,core_runtime,28,0,2650371,0,True,core processing/runtime module,
scripts,tests,60,56,1178488,29361,partial_review,tests useful but not always part of softcopyright submission,
start_mygpr.bat,unknown,1,0,3386,0,False,manual review required,
start_mygpr_debug.bat,unknown,1,0,84,0,False,manual review required,
tests,tests,140,124,799066,21916,partial_review,tests useful but not always part of softcopyright submission,
ui,ui,20,20,579838,14312,True,user-facing application UI,
启动MyGPR.bat,unknown,1,0,3386,0,False,manual review required,
启动MyGPR_调试日志.bat,unknown,1,0,84,0,False,manual review required,
检查MyGPR环境.bat,unknown,1,0,1575,0,False,manual review required,
